Parallelism,Mean,StdErr,Predictions
0,0.0,0.0,
1,34015.64144736548,1745.160024070281,
2,72696.74802630926,2164.5566973399764,87638.0
3,100862.47264956334,3064.050849642357,131217.0
4,124637.11981980762,3873.9474396458513,139796.0
